U;() the twenty-first letter of the English alphabet, is a cursive form of the letter V, with which it was formerly used interchangeably, both letters being then used both as vowels and consonants. U and V are now, however, differentiated, U being used only as a vowel or semivowel, and V only as a consonant. The true primary vowel sound of U, in Anglo-Saxon, was the sound which it still retains in most of the languages of Europe, that of long oo, as in tool, and short oo, as in wood, answering to the French ou in tour. Etymologically U is most closely related to o, y (vowel), w, and v; as in two, duet, dyad, twice; top, tuft; sop, sup; auspice, aviary. See V, also O and Y.
Uakari;(n.) Same as Ouakari.
Undervaluer;(n.) One who undervalues.
Underverse;(n.) The lower or second verse.
Undervest;(n.) An undershirt.
Underviewer;(n.) See Underlooker.
Underwear;(n.) That which is worn under the outside clothing
Underween;(v. t.) To undervalue.
Underwent;() imp. of Undergo.
Underwing;(n.) One of the posterior wings of an insect.
Underwing;(n.) Any one of numerous species of noctuid moths belonging to Catocala and allied genera, in which the hind wings are banded with red and black or other conspicuous colors. Many of the species are called red underwing.
Underwitted;(a.) Weak in intellect
Underwood;(n.) Small trees and bushes that grow among large trees
Underworked;(imp. & p. p.) of Underwork
Underwrought;() of Underwork
Underworking;(p. pr. & vb. n.) of Underwork
Underwork;(v. t.) To injure by working secretly
Underwork;(v. t.) To expend too little work upon; as, to underwork a painting.
Underwork;(v. t.) To do like work at a less price than; as, one mason may underwork another.
Underwork;(v. i.) To work or operate in secret or clandestinely.
Underwork;(v. i.) To do less work than is proper or suitable.
Underwork;(v. i.) To do work for a less price than current rates.
Underwork;(n.) Inferior or subordinate work
Underworker;(n.) One who underworks.
Underworker;(n.) An inferior or subordinate workman.
Underworld;(n.) The lower of inferior world
Underworld;(n.) The mythological place of departed souls
Underworld;(n.) The portion of the world which is below the horizon
Underworld;(n.) The inferior part of mankind.
Underwrote;(imp.) of Underwrite
Underwrit;() of Underwrite
Underwritten;(p. p.) of Underwrite
Underwrit;() of Underwrite
Underwriting;(p. pr. & vb. n.) of Underwrite
Underwrite;(v. t.) To write under something else
Underwrite;(v. t.) To subscribe one's name to for insurance, especially for marine insurance; to write one's name under, or set one's name to, as a policy of insurance, for the purpose of becoming answerable for loss or damage, on consideration of receiving a certain premium per cent; as, individuals, as well as companies, may underwrite policies of insurance.
Underwrite;(v. i.) To practice the business of insuring
Underwriter;(n.) One who underwrites his name to the conditions of an insurance policy, especially of a marine policy; an insurer.
Underwriting;(n.) The business of an underwriter,
Underyoke;(v. t.) To subject to the yoke
Undeserve;(v. t.) To fail to deserve.
Undeserver;(n.) One of no merit
Undesigning;(a.) Having no artful, ulterior, or fraudulent purpose; sincere; artless; simple.
Undestroyable;(a.) Indestructible.
Undeterminable;(a.) Not determinable
Undeterminate;(a.) Nor determinate
Undetermination;(n.) Indetermination.
Undevil;(v. t.) To free from possession by a devil or evil spirit
Undevotion;(n.) Absence or want of devotion.
Undid;() imp. of Undo.
Undifferentiated;(a.) Not differentiated; specifically (Biol.), homogenous, or nearly so; -- said especially of young or embryonic tissues which have not yet undergone differentiation (see Differentiation, 3), that is, which show no visible separation into their different structural parts.
Undigenous;(a.) Generated by water.
Undigestible;(a.) Indigestible.
Undight;(v. t.) To put off; to lay aside, as a garment.
Undigne;(a.) Unworthy.
Undine;(n.) One of a class of fabled female water spirits who might receive a human soul by intermarrying with a mortal.
Undiocesed;(a.) Unprovided with a diocese
Undirect;(v. t.) To misdirect
Undirect;(a.) Indirect.
Undirected;(a.) Not directed
Undirected;(a.) Not addressed; not superscribed, as a letter.
Undirected;(a.) Misdirected
Undirectly;(adv.) Indirectly.
Undiscerning;(n.) Want of discernment.
Undisclose;(v. t.) To keep close or secret.
Undiscreet;(a.) Indiscreet.
Undispensable;(a.) Indispensable.
Undispensable;(a.) Unavoidable
Undispensable;(a.) Not to be freed by dispensation.
Undispensed;(a.) Not dispensed.
Undispensed;(a.) Not freed by dispensation.
Undisposedness;(n.) Indisposition
Undisputable;(a.) Indisputable.
Undistinctive;(a.) Making no distinctions
Undistinctly;(adv.) Indistinctly.
Undivided;(a.) Not divided; not separated or disunited; unbroken; whole; continuous; as, plains undivided by rivers or mountains.
Undivided;(a.) Not set off, as a share in a firm; not made actually separate by division; as, a partner, owning one half in a firm, is said to own an undivided half so long as the business continues and his share is not set off to him.
Undivided;(a.) Not directed or given to more than one object; as, undivided attention or affection.
Undivided;(a.) Not lobed, cleft, or branched; entire.
Undividual;(a.) Indivisible.
Undivisible;(a.) Indivisible.
Undo;(v. t.) To reverse, as what has been done; to annul; to bring to naught.
Undo;(v. t.) To loose; to open; to take to piece; to unfasten; to untie; hence, to unravel; to solve; as, to undo a knot; to undo a puzzling question; to undo a riddle.
Undo;(v. t.) To bring to poverty; to impoverish; to ruin, as in reputation, morals, hopes, or the like; as, many are undone by unavoidable losses, but more undo themselves by vices and dissipation, or by indolence.
Undock;(v. t.) To take out of dock; as, to undock a ship.
Undoer;(n.) One who undoes anything; especially, one who ruins another.
Undoing;(n.) The reversal of what has been done.
Undoing;(n.) Ruin.
Undomesticate;(v. t.) To make wild or roving.
Undone;() p. p. of Undo.
Undone;(a.) Not done or performed
Undouble;(v. t.) To unfold, or render single.
Undoubtable;(a.) Indubitable.
Undoubted;(a.) Not doubted; not called in question; indubitable; indisputable; as, undoubted proof; undoubted hero.
Undrape;(v. t.) To strip of drapery
Undraw;(v. t.) To draw aside or open
Undreamed;(a.) Alt. of Undreamt
Undreamt;(a.) Not dreamed, or dreamed of; not th/ught of; not imagined; -- often followed by of.
Undress;(v. t.) To divest of clothes
Undress;(v. t.) To divest of ornaments to disrobe.
Undress;(v. t.) To take the dressing, or covering, from; as, to undress a wound.
Undress;(n.) A loose, negligent dress; ordinary dress, as distinguished from full dress.
Undress;(n.) An authorized habitual dress of officers and soldiers, but not full-dress uniform.
Undubitable;(a.) Indubitable; as, an undubitable principle.
Undue;(a.) Not due; not yet owing; as, an undue debt, note, or bond.
Undue;(a.) Not right; not lawful or legal; improper; as, an undue proceeding.
Undue;(a.) Not agreeable to a rule or standard, or to duty; disproportioned; excessive; immoderate; inordinate; as, an undue attachment to forms; an undue rigor in the execution of law.
Undueness;(n.) The quality of being undue.
Unduke;(v. t.) To deprive of dukedom.
Undulant;(a.) Undulating.
Undulary;(a.) Moving like waves
Undulate;(a.) Same as Undulated.
Undulated;(imp. & p. p.) of Undulate
Undulating;(p. pr. & vb. n.) of Undulate
Undulate;(v. t.) To cause to move backward and forward, or up and down, in undulations or waves; to cause to vibrate.
Undulate;(v. i.) To move in, or have, undulations or waves; to vibrate; to wave; as, undulating air.
Undulated;(a.) Resembling, or in the nature of, waves; having a wavy surface; undulatory.
Undulated;(a.) Waved obtusely up and down, near the margin, as a leaf or corolla; wavy.
Undulated;(a.) Formed with elevations and depressions resembling waves; having wavelike color markings; as, an undulated shell.
Undulating;(a.) Rising and falling like waves; resembling wave form or motion; undulatory; rolling; wavy; as, an undulating medium; undulating ground.
Undulation;(n.) The act of undulating; a waving motion or vibration; as, the undulations of a fluid, of water, or of air; the undulations of sound.
Undulation;(n.) A wavy appearance or outline
Undulation;(n.) The tremulous tone produced by a peculiar pressure of the finger on a string, as of a violin.
Undulation;(n.) The pulsation caused by the vibrating together of two tones not quite in unison
Undulation;(n.) A motion to and fro, up and down, or from side to side, in any fluid or elastic medium, propagated continuously among its particles, but with no translation of the particles themselves in the direction of the propagation of the wave; a wave motion; a vibration.
Undulationist;(n.) One who advocates the undulatory theory of light.
Undulative;(a.) Consisting in, or accompanied by, undulations; undulatory.
Undulatory;(a.) Moving in the manner of undulations, or waves; resembling the motion of waves, which successively rise or swell rise or swell and fall; pertaining to a propagated alternating motion, similar to that of waves.
Undull;(v. t.) To remove the dullness of
Undulous;(a.) Undulating
Unduly;(adv.) In an undue manner.
Undumpish;(v. t.) To relieve from the dumps.
Undust;(v. t.) To free from dust.
Undwellable;(a.) Uninhabitable.
Undwelt;(a.) Not lived (in)
Undying;(a.) Not dying; imperishable; unending; immortal; as, the undying souls of men.
Uneared;(a.) Not eared, or plowed.
Unearned;(a.) Not earned
Unearthed;(imp. & p. p.) of Unearth
Unearthing;(p. pr. & vb. n.) of Unearth
Unearth;(v. t.) To drive or draw from the earth; hence, to uncover; to bring out from concealment; to bring to light; to disclose; as, to unearth a secret.
Unearthly;(a.) Not terrestrial; supernatural; preternatural; hence, weird; appalling; terrific; as, an unearthly sight or sound.
Unease;(n.) Want of ease
Uneasity;(adv.) In an easy manner.
Uneasiness;(n.) The quality or state of being uneasy
Uneasiness;(n.) The quality of making uneasy; discomfort; as, the uneasiness of the road.
Uneasy;(a.) Not easy
Uneasy;(a.) Restless; disturbed by pain, anxiety, or the like; disquieted; perturbed.
Uneasy;(a.) Not easy in manner; constrained; stiff; awkward; not graceful; as, an uneasy deportment.
Uneasy;(a.) Occasioning want of ease
Uneath;(a.) Not easy
Uneath;(adv.) Not easily
Unedge;(v. t.) To deprive of the edge
Unefectual;(a.) Ineffectual.
Unelastic;(a.) Not elastic
Unelasticity;(n.) Inelasticity.
Unelegant;(a.) Inelegant.
Uneligible;(a.) Ineligible.
Unembarrassed;(a.) Not embarrassed.
Unembarrassed;(a.) Not perplexed in mind; not confused; as, the speaker appeared unembarrassed.
Unembarrassed;(a.) Free from pecuniary difficulties or encumbrances; as, he and his property are unembarrassed.
Unembarrassed;(a.) Free from perplexing connection; as, the question comes into court unembarrassed with irrelevant matter.
Unembarrassment;(n.) Freedom from embarrassment.
Unembodied;(a.) Free from a corporeal body; disembodied; as, unembodied spirits.
Unembodied;(a.) Not embodied; not collected into a body; not yet organized; as, unembodied militia.
Unempirically;(adv.) Not empirically
Unemployed;(a.) Not employed in manual or other labor
Unemployed;(a.) Not invested or used; as, unemployed capital.
Unencumber;(v. t.) To free from incumbrance
Unendly;(a.) Unending
Unentangle;(v. t.) To disentangle.
Unequal;(a.) Not equal; not matched; not of the same size, length, breadth, quantity, strength, talents, acquirements, age, station, or the like; as, the fingers are of unequal length; peers and commoners are unequal in rank.
Unequal;(a.) Ill balanced or matched; disproportioned; hence, not equitable; partial; unjust; unfair.
Unequal;(a.) Not uniform; not equable; irregular; uneven; as, unequal pulsations; an unequal poem.
Unequal;(a.) Not adequate or sufficient; inferior; as, the man was unequal to the emergency; the timber was unequal to the sudden strain.
Unequal;(a.) Not having the two sides or the parts symmetrical.
Unequalable;(a.) Not capable of being equaled or paralleled.
